Feature,Mean_Abs_SHAP,Category
IHSG_target_lag-1,0.7086381597000813,IHSG_Lags
STI_pastcov_lag-3,0.009585728845265363,STI
Nickel_pastcov_lag-3,0.00341884713940003,Nickel
Gold_pastcov_lag-3,0.002461400457555374,Gold
Nickel_pastcov_lag-2,0.0024451887980830034,Nickel
Nickel_pastcov_lag-1,0.0018832267614188334,Nickel
STI_pastcov_lag-2,0.0017411393255944028,STI
Tin_pastcov_lag-3,0.0014282910427150658,Tin
Coal_pastcov_lag-1,0.0011796304209207163,Coal
Silver_pastcov_lag-1,0.0011014874582806965,Silver
Coal_pastcov_lag-2,0.0010626640884787435,Coal
Copper_pastcov_lag-3,0.0009903846005159308,Copper
Silver_pastcov_lag-2,0.0009405775560215471,Silver
STI_pastcov_lag-1,0.0009039564887506216,STI
Gold_pastcov_lag-2,0.0008846800744823807,Gold
Gold_pastcov_lag-1,0.0008792460073274911,Gold
Silver_pastcov_lag-3,0.0008229261920374945,Silver
Coal_pastcov_lag-3,0.0006440280858607878,Coal
Tin_pastcov_lag-1,0.0005691760736344967,Tin
Tin_pastcov_lag-2,0.0005234239096040359,Tin
Copper_pastcov_lag-1,0.0004897292814591902,Copper
Copper_pastcov_lag-2,0.000430839239334429,Copper
