Feature,Mean_Abs_SHAP,Mean_SHAP,Std_SHAP,Max_Abs_SHAP,Category,Lag_Number,Positive_Impact,Negative_Impact,Net_Impact
IHSG_target_lag-1,0.15259603225841736,0.15259603225841736,0.0008993493098861266,0.15412288249722286,IHSG_Lags,1,0.0,-0.06229464226790809,-0.06229464226790809
IHSG_target_lag-2,0.14797093743078055,0.14797093743078055,0.0027348040434691844,0.15402721747029793,IHSG_Lags,2,0.0,-0.07935192538269743,-0.07935192538269743
IHSG_target_lag-3,0.11713101880685801,0.11713101880685801,0.0010067628201662964,0.11858528840095181,IHSG_Lags,3,0.24128454796294233,0.0,0.24128454796294233
IHSG_target_lag-4,0.10454617198540718,0.10454617198540718,0.0009430782938889558,0.10583627242130648,IHSG_Lags,4,0.0,-0.05689734290706664,-0.05689734290706664
IHSG_target_lag-5,0.06329191470467425,0.06329191470467425,0.0008715255040378672,0.06461561813278101,IHSG_Lags,5,0.15623024280313358,0.0,0.15623024280313358
IHSG_target_lag-6,0.0445761623522199,0.0445761623522199,0.0007835351436384568,0.046542591103300945,IHSG_Lags,6,0.38218328119367684,0.0,0.38218328119367684
IHSG_target_lag-7,0.027298805799548347,0.027298805799548347,0.00022760620281363014,0.027808236513628536,IHSG_Lags,7,0.6240662729310786,0.0,0.6240662729310786
IHSG_target_lag-10,0.017234610568781596,0.017234610568781596,3.469446951953614e-18,0.0172346105687816,IHSG_Lags,10,0.8860868058654396,0.0,0.8860868058654396
IHSG_target_lag-8,0.011159303057366685,0.011159303057366685,0.0002858270908444342,0.01159204146735517,IHSG_Lags,8,1.4636464077957005,0.0,1.4636464077957005
BI_Rate_pastcov_lag-1,0.007391577221522421,-0.007391577221522421,0.004700616142237579,0.013665223781245666,BI_Rate,1,1.6398342632960121,0.0,1.6398342632960121
IHSG_target_lag-11,0.005667994670192674,-0.005667994670192674,9.398528710646382e-05,0.005783085571176467,IHSG_Lags,11,2.0715931240309278,0.0,2.0715931240309278
M2_YoY_pastcov_lag-1,0.005417854385767765,-0.005417854385767765,0.0004972419608192653,0.005992019945630524,M2_YoY,1,2.136344451617843,0.0,2.136344451617843
IHSG_target_lag-12,0.004449617304850577,-0.004449617304850577,0.0,0.004449617304850577,IHSG_Lags,12,0.0,-0.017531208836486283,-0.017531208836486283
IHSG_target_lag-9,0.004064095921933331,-0.004064095921933331,0.0001802090497199844,0.0041582070288051064,IHSG_Lags,9,0.0,-0.0758499614007487,-0.0758499614007487
USDIDR_pastcov_lag-1,0.0031098174852094013,0.0031098174852094013,0.0003149292508681844,0.003862360639334602,USD/IDR,1,0.04353744479293162,0.0,0.04353744479293162
NPL_Ratio_pastcov_lag-1,0.0021587383471783042,-0.0021587383471783042,0.0,0.0021587383471783042,NPL_Ratio,1,0.0,-0.10348208110131389,-0.10348208110131389
Inflation_YoY_pastcov_lag-1,0.001252229202606163,-0.001252229202606163,0.0010915439018586769,0.0025763596318670824,Inflation_YoY,1,0.0,-0.030222336860496257,-0.030222336860496257
